seed,world,view,idx,hazard,fam,n_floor,n_tau,max_conf,any_box,hit_wedge,center_wedge,hit_full,cell_hit,n_claimed,n_gt_cells
42,gz_drop1,rs_h0.125_d5,001,1,rs,0,0,0.0,0,0,0,0,0,0,6
42,gz_drop1,rs_h0.125_d5,002,1,rs,0,0,0.0,0,0,0,0,0,0,6
42,gz_drop1_ctrl,extra_h0.3_d1.2,000,0,negobs,0,0,0.0,0,0,0,0,0,0,0
42,gz_drop1_ctrl,extra_h0.3_d1.2,001,0,negobs,0,0,0.0,0,0,0,0,0,0,0
42,gz_drop1_ctrl,extra_h0.3_d1.2,002,0,negobs,0,0,0.0,0,0,0,0,0,0,0
42,gz_drop1_ctrl,preset_h0.3_d10,000,0,negobs,1,0,0.21265,0,0,0,0,0,0,0
42,gz_drop1_ctrl,preset_h0.3_d10,001,0,negobs,1,0,0.21265,0,0,0,0,0,0,0
42,gz_drop1_ctrl,preset_h0.3_d10,002,0,negobs,1,0,0.21265,0,0,0,0,0,0,0
42,gz_drop1_ctrl,preset_h0.3_d2,000,0,negobs,0,0,0.0,0,0,0,0,0,0,0
42,gz_drop1_ctrl,preset_h0.3_d2,001,0,negobs,0,0,0.0,0,0,0,0,0,0,0
42,gz_drop1_ctrl,preset_h0.3_d2,002,0,negobs,0,0,0.0,0,0,0,0,0,0,0
42,gz_drop1_ctrl,preset_h0.3_d5,000,0,negobs,0,0,0.0,0,0,0,0,0,0,0
42,gz_drop1_ctrl,preset_h0.3_d5,001,0,negobs,0,0,0.0,0,0,0,0,0,0,0
