model,seed,scene,occluder,cut,cond,round,d,h,pitch,yaw,hfov,edge_projected,hbin,dbin,dbin3a,n_gt,ncell_3a,ncell_3b,d_3a,d_3b,on_3a,off_3a,on_3b,off_3b,rec_3a,rec_3b,delta_all
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0003.png::boost_e,L7,260820_boost_e_on,10.095,1.8852,-7.2352,-9.0359,60.577,182,h_hi (~1.8),d>=9,d>=6.8,4,0,4,nan,0.7138030000000001,nan,nan,0.827347,0.113544,nan,1.0,0.7138030000000001
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0003.png::boost_h,L7,260820_boost_h_on,10.095,0.9842,-7.2352,-9.0359,60.577,180,h_mid (~0.9),d>=9,d>=6.8,4,0,4,nan,0.19013700000000003,nan,nan,0.301256,0.111119,nan,0.0,0.19013700000000003
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0004.png::boost_e,L7,260820_boost_e_on,6.7379,1.5701,-16.0704,-3.7589,60.2149,170,h_hi (~1.8),d<7,d 5.5-6.8,10,5,5,0.051637999999999996,0.6804089999999999,0.060688,0.00905,0.725355,0.044946,0.0,1.0,0.6804089999999999
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0004.png::boost_h,L7,260820_boost_h_on,6.7379,0.6465,-16.0704,-3.7589,60.2149,164,h_mid (~0.9),d<7,d 5.5-6.8,10,5,5,0.0007440000000000001,0.029239000000000008,0.002586,0.001842,0.071137,0.041898,0.0,0.0,0.029239000000000008
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0005.png::boost_e,L7,260820_boost_e_on,8.1602,1.6314,-12.4022,9.6925,62.3957,179,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.33721500000000004,nan,nan,0.374802,0.037587,nan,0.0,0.33721500000000004
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0005.png::boost_h,L7,260820_boost_h_on,8.1602,0.7122,-12.4022,9.6925,62.3957,179,h_mid (~0.9),d 7-9,d>=6.8,5,0,5,nan,0.16473000000000002,nan,nan,0.207848,0.043118,nan,0.0,0.16473000000000002
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0006.png::boost_e,L7,260820_boost_e_on,8.239,1.2253,-16.5186,9.6527,62.4123,168,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.018203,nan,nan,0.019807,0.001604,nan,0.0,0.018203
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0006.png::boost_h,L7,260820_boost_h_on,8.239,0.2771,-16.5186,9.6527,62.4123,166,h_lo (robot ~0.3),d 7-9,d>=6.8,5,0,5,nan,0.002269,nan,nan,0.007976,0.005707,nan,0.0,0.002269
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0007.png::boost_e,L7,260820_boost_e_on,10.4613,1.2748,-6.1172,5.4847,60.0935,198,h_hi (~1.8),d>=9,d>=6.8,5,0,5,nan,0.212706,nan,nan,0.243,0.030294,nan,0.0,0.212706
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0007.png::boost_h,L7,260820_boost_h_on,10.4613,0.3301,-6.1172,5.4847,60.0935,198,h_lo (robot ~0.3),d>=9,d>=6.8,5,0,5,nan,0.28108599999999995,nan,nan,0.591297,0.310211,nan,1.0,0.28108599999999995
