scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame
sceneC2,L7__s20260819__0005.png,V,False,ground_z,5,0.963007,0.973318,-0.01031100000000007,0.963007,0.973318,-0.01031100000000007
sceneC2,L7__s20260819__0006.png,V,False,ground_z,5,0.937947,0.864672,0.07327499999999998,0.937947,0.864672,0.07327499999999998
sceneC2,L7__s20260819__0007.png,V,False,ground_z,10,0.971806,0.879185,0.09262099999999995,0.971806,0.879185,0.09262099999999995
sceneN3,L0__s20260819__0000.png,none_in_fov,True,,0,nan,nan,nan,0.796762,0.762072,0.03469
sceneN3,L0__s20260819__0001.png,none_in_fov,True,,0,nan,nan,nan,0.850114,0.511371,0.338743
sceneN3,L0__s20260819__0002.png,none_in_fov,True,,0,nan,nan,nan,0.898744,0.551553,0.347191
sceneN3,L0__s20260819__0003.png,none_in_fov,True,,0,nan,nan,nan,0.962219,0.948172,0.014047000000000032
sceneN3,L0__s20260819__0004.png,none_in_fov,True,,0,nan,nan,nan,0.921777,0.917481,0.0042959999999999665
sceneN3,L0__s20260819__0005.png,none_in_fov,True,,0,nan,nan,nan,0.984673,0.770153,0.21452000000000004
sceneN3,L0__s20260819__0006.png,none_in_fov,True,,0,nan,nan,nan,0.750918,0.642076,0.108842
sceneN3,L0__s20260819__0007.png,none_in_fov,True,,0,nan,nan,nan,0.980775,0.852316,0.128459
sceneN3,L5__s20260819__0000.png,none_in_fov,True,,0,nan,nan,nan,0.890681,0.870108,0.020572999999999952
sceneN3,L5__s20260819__0001.png,none_in_fov,True,,0,nan,nan,nan,0.701645,0.15262,0.549025
sceneN3,L5__s20260819__0002.png,none_in_fov,True,,0,nan,nan,nan,0.880024,0.348235,0.5317890000000001
sceneN3,L5__s20260819__0003.png,none_in_fov,True,,0,nan,nan,nan,0.921206,0.863034,0.058172
sceneN3,L5__s20260819__0004.png,none_in_fov,True,,0,nan,nan,nan,0.848298,0.835797,0.012500999999999984
sceneN3,L5__s20260819__0005.png,none_in_fov,True,,0,nan,nan,nan,0.983382,0.491852,0.49152999999999997
sceneN3,L5__s20260819__0006.png,none_in_fov,True,,0,nan,nan,nan,0.711386,0.206781,0.504605
sceneN3,L5__s20260819__0007.png,none_in_fov,True,,0,nan,nan,nan,0.939132,0.538065,0.40106699999999995
sceneN3,L7__s20260819__0000.png,none_in_fov,True,,0,nan,nan,nan,0.629732,0.555443,0.07428899999999994
sceneN3,L7__s20260819__0001.png,none_in_fov,True,,0,nan,nan,nan,0.909232,0.445499,0.46373300000000006
sceneN3,L7__s20260819__0002.png,none_in_fov,True,,0,nan,nan,nan,0.820888,0.260797,0.5600909999999999
sceneN3,L7__s20260819__0003.png,none_in_fov,True,,0,nan,nan,nan,0.87805,0.823193,0.054857000000000045
sceneN3,L7__s20260819__0004.png,none_in_fov,True,,0,nan,nan,nan,0.826332,0.830581,-0.004249000000000058
sceneN3,L7__s20260819__0005.png,none_in_fov,True,,0,nan,nan,nan,0.965165,0.516217,0.448948
sceneN3,L7__s20260819__0006.png,none_in_fov,True,,0,nan,nan,nan,0.702922,0.344104,0.358818
sceneN3,L7__s20260819__0007.png,none_in_fov,True,,0,nan,nan,nan,0.932247,0.599214,0.333033
