backup_file	bytes	source_file_exists
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_s20fix_B2__scene20.json.pre0827.bak	104343	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_s20fix_C__scene20.json.pre0827.bak	104516	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_s20fix_P__scene20.json.pre0827.bak	104204	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff2_A__scene12.json.pre0827.bak	68859	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff2_B1__scene12.json.pre0827.bak	68881	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff2_B2__scene12.json.pre0827.bak	68932	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff2_C__scene12.json.pre0827.bak	69021	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff2_P__scene12.json.pre0827.bak	68859	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_A__scene12.json.pre0827.bak	68750	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_A__scene17.json.pre0827.bak	68861	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_A__scene20.json.pre0827.bak	68927	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_B1__scene12.json.pre0827.bak	68823	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_B1__scene17.json.pre0827.bak	68934	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_B1__scene20.json.pre0827.bak	68946	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_B2__scene12.json.pre0827.bak	68823	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_B2__scene17.json.pre0827.bak	34824	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_B2__scene20.json.pre0827.bak	68964	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_C__scene12.json.pre0827.bak	68858	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_C__scene17.json.pre0827.bak	69080	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_C__scene20.json.pre0827.bak	69020	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_P__scene12.json.pre0827.bak	68750	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_P__scene17.json.pre0827.bak	68861	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_P__scene20.json.pre0827.bak	68927	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_s20fix_A__scene20.json.pre0827.bak	139005	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_s20fix_B1__scene20.json.pre0827.bak	139150	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_s20fix_B2__scene20.json.pre0827.bak	139144	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_s20fix_C__scene20.json.pre0827.bak	139317	True
experiments/weekend_0823/cue_audit/manifests/twin__260823_cueoff_s20fix_P__scene20.json.pre0827.bak	139005	True
experiments/weekend_0823/cue_audit/run_cueoff.sh.pre0827.bak	14125	True
experiments/weekend_0823/pilot_package/README_PILOT.md.pre0827.bak	18263	True
experiments/weekend_0823/redteam/REDTEAM_0823.md.pre0827.bak	21709	True
experiments/weekend_0823/rt_response/README.md.pre0827.bak	4941	True
experiments/weekend_0823/rt_response/code/f7b_noisefloor.py.pre0827.bak	5918	True
experiments/weekend_0823/rt_response/f7b_noisefloor.json.pre0827.bak	5023	True
experiments/weekend_0823/v2s/dataset_manifest_v2s_full.json.pre0827.bak	3420271	True
experiments/weekend_0823/v2s/manifest_v2s_boost_e.json.pre0827.bak	1257827	True
experiments/weekend_0823/v2s/manifest_v2s_boost_e2.json.pre0827.bak	720070	True
experiments/weekend_0823/v2s/manifest_v2s_boost_h.json.pre0827.bak	359318	True
experiments/weekend_0823/v2s/manifest_v2s_main.json.pre0827.bak	2959290	True
look_check/logs/260730_data_mini.log.pre0827.bak	181810	True
look_check/logs/260731_data_s10.log.pre0827.bak	50199	True
look_check/logs/260731_data_s17.log.pre0827.bak	48784	True
look_check/logs/260731_data_s18.log.pre0827.bak	45266	True
look_check/logs/260731_s03_recache.log.pre0827.bak	49240	True
scripts/rounds/run_260730_data_mini.sh.pre0827.bak	1734	True
scripts/rounds/run_260815_w4_physpilot.sh.pre0827.bak	1452	True
scripts/rounds/run_260819_main.sh.pre0827.bak	14281	True
scripts/rounds/run_260820_boost.sh.pre0827.bak	17535	True
scripts/shortcut_audit.py.pre0827.bak	8376	True
submission_0830/panels/PANELS.md.pre0827.bak	16038	True
