old	new	wave	kind	size_bytes	reason
look_check/sceneN2/260806_w3_allview4	look_check/_archive/w3fix/sceneN2/260806_w3_allview4	w3fix	round	18842186	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN2/260806_w3_allview5	look_check/_archive/w3fix/sceneN2/260806_w3_allview5	w3fix	round	18841099	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN3/260731_w3_full	look_check/_archive/w3/sceneN3/260731_w3_full	w3	round	57973144	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN3/260806_w3_allview4	look_check/_archive/w3fix/sceneN3/260806_w3_allview4	w3fix	round	17439194	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN3/260806_w3_allview5	look_check/_archive/w3fix/sceneN3/260806_w3_allview5	w3fix	round	17451725	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN4/260730_lcfreeze_post	look_check/_archive/w2d/sceneN4/260730_lcfreeze_post	w2d	round	51058779	free round (W2-D, role=wave-round, cited_by=7) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN4/260730_lcfreeze_pre	look_check/_archive/w2d/sceneN4/260730_lcfreeze_pre	w2d	round	51054688	free round (W2-D, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN4/260731_w3_full	look_check/_archive/w3/sceneN4/260731_w3_full	w3	round	51229421	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN4/260806_w3_allview4	look_check/_archive/w3fix/sceneN4/260806_w3_allview4	w3fix	round	13150117	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN4/260806_w3_allview5	look_check/_archive/w3fix/sceneN4/260806_w3_allview5	w3fix	round	13148447	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN5/260731_w3_full	look_check/_archive/w3/sceneN5/260731_w3_full	w3	round	53402655	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN5/260806_w3_allview4	look_check/_archive/w3fix/sceneN5/260806_w3_allview4	w3fix	round	16373904	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
