scene,arm,frame_id,cond,round,d,h_rel,pitch,yaw,finite_frac,inf_frac,p05,p25,p50,p75,p95,max_finite,min_finite,sat_frac,mean_norm,std_norm,frac_band1,frac_band2,frac_band3a,frac_band3b,vgrad_mean,vgrad_p99,hgrad_mean
scene15,on,on/scene15/L0__s20260820__0004.png::boost_h,L0,260820_boost_h_on,9.9583,0.7018,-12.6937,-3.4861,1.0,0.0,1.0185546875,1.4404296875,1.9951171875,3.197265625,8.8984375,35.25,0.9208984375,0.02547067901234568,0.279651939868927,0.2152211219072342,0.5013609182098765,0.38026957947530865,0.06072289737654321,0.036298225308641976,0.02481640875339508,0.3046875,0.028285883367061615
scene15,on,on/scene15/L0__s20260820__0005.png::boost_h,L0,260820_boost_h_on,9.8366,0.329,-5.4058,-7.3396,0.992671199845679,0.007328800154320987,0.79541015625,0.96826171875,1.41796875,3.0078125,9.578125,40.3125,0.73193359375,0.03787856867283951,0.2610355615615845,0.2580159604549408,0.6270823688271605,0.23830922067901233,0.04607687114197531,0.057388117283950615,0.0324435718357563,0.49609375,0.03644757345318794
scene15,on,on/scene15/L0__s20260820__0006.png::boost_h,L0,260820_boost_h_on,6.9519,0.4238,-5.1828,6.8137,0.9952536651234568,0.00474633487654321,1.119140625,1.51953125,2.130859375,3.474609375,8.421875,38.21875,0.9873046875,0.04612268518518518,0.30587297677993774,0.23073340952396393,0.4488155864197531,0.38360243055555554,0.11055362654320988,0.01622636959876543,0.029549336060881615,0.33984375,0.0373275987803936
scene15,on,on/scene15/L0__s20260820__0007.png::boost_h,L0,260820_boost_h_on,8.3783,0.7953,-9.4753,-12.4083,0.9996272183641975,0.00037278163580246914,1.583984375,1.828125,2.326171875,3.591796875,8.34375,34.84375,1.314453125,0.03851128472222222,0.32689961791038513,0.22297047078609467,0.35575038580246915,0.4839520640432099,0.08048273533950617,0.04638310185185185,0.034291524440050125,0.34259796142578125,0.04391764849424362
scene15,on,on/scene15/L0__s20260820__0000.png::boost_e,L0,260820_boost_e_on,10.9914,0.3911,-13.637,-17.7914,1.0,0.0,0.72998046875,0.95166015625,1.236328125,2.021484375,6.86328125,34.03125,0.67333984375,0.02513695987654321,0.20147384703159332,0.20159444212913513,0.7466010802469136,0.17524257330246915,0.037822145061728395,0.02476514274691358,0.026835883036255836,0.4140625,0.01853073202073574
scene15,on,on/scene15/L0__s20260820__0001.png::boost_e,L0,260820_boost_e_on,9.9013,0.959,-6.8068,-11.8299,0.9948760609567902,0.005123939043209877,1.15234375,1.7216796875,2.53515625,3.978515625,9.75,40.1875,1.0615234375,0.044621431327160496,0.3500935137271881,0.25799649953842163,0.3063474151234568,0.5030806327160494,0.07555893132716049,0.07741078317901234,0.04770950973033905,0.5789260864257812,0.05777033790946007
scene15,on,on/scene15/L0__s20260820__0002.png::boost_e,L0,260820_boost_e_on,6.6026,0.7881,-8.6096,-4.0107,0.9968938078703704,0.0031061921296296298,1.314453125,1.7763671875,2.265625,3.623046875,7.8125,37.15625,1.1796875,0.04227430555555556,0.31535735726356506,0.21487373113632202,0.3837813464506173,0.44928771219135805,0.11500096450617284,0.015070891203703704,0.025627903640270233,0.234375,0.040492672473192215
scene15,on,on/scene15/L0__s20260820__0003.png::boost_e,L0,260820_boost_e_on,7.5147,0.4734,-11.0902,-4.9586,0.9998784722222223,0.00012152777777777777,0.955078125,1.3134765625,1.787109375,2.771484375,7.3125,37.71875,0.87060546875,0.028149112654320987,0.25309816002845764,0.20310886204242706,0.5817934992283951,0.312818287037037,0.06922501929012345,0.011925154320987655,0.026537949219346046,0.3180084228515625,0.02826775424182415
scene15,on,on/scene15/L0__s20260820__0004.png::boost_e,L0,260820_boost_e_on,9.9583,0.8223,-12.6937,-3.4861,1.0,0.0,1.0185546875,1.5986328125,2.224609375,3.421875,9.484375,35.3125,0.9208984375,0.02745900848765432,0.2978551983833313,0.22111427783966064,0.4320770640432099,0.4366015625,0.06627555941358025,0.04204619984567901,0.026083389297127724,0.3125,0.03122979775071144
scene15,on,on/scene15/L0__s20260820__0005.png::boost_e,L0,260820_boost_e_on,9.8366,0.3501,-5.4058,-7.3396,0.9925819830246914,0.007418016975308642,0.8193359375,0.99951171875,1.4638671875,3.052734375,9.578125,40.15625,0.76171875,0.038152488425925925,0.26524481177330017,0.2580556571483612,0.6173321759259259,0.24622974537037037,0.04681664737654321,0.05824893904320988,0.032141994684934616,0.4765625,0.03637874498963356
scene15,on,on/scene15/L0__s20260820__0006.png::boost_e,L0,260820_boost_e_on,6.9519,0.4701,-5.1828,6.8137,0.9949440586419753,0.005055941358024691,1.2412109375,1.6005859375,2.201171875,3.58203125,8.578125,38.21875,1.0947265625,0.047098283179012344,0.31528550386428833,0.2300948202610016,0.4201591435185185,0.4047043788580247,0.11679783950617284,0.016587577160493826,0.029122181236743927,0.3203125,0.03846161067485809
